Endpoint,Method,Parameters,Local Time Avg (ms),Local Time Min (ms),Local Time Max (ms),Local Time StdDev (ms),Local Size Avg (bytes),Local Size Min (bytes),Local Size Max (bytes),Local Size StdDev (bytes),Local Status,External Time Avg (ms),External Time Min (ms),External Time Max (ms),External Time StdDev (ms),External Size Avg (bytes),External Size Min (bytes),External Size Max (bytes),External Size StdDev (bytes),External Status,Timestamp,Error
/maqamat,GET,,121.30,112.00,149.00,12.26,381536,381536,381536,0,200,871.90,760.00,1151.00,121.12,381536,381536,381536,,200,2025-11-06T20:16:22.597Z,
/maqamat?filterByFamily=ajam,GET,filterByFamily=ajam,109.30,106.00,123.00,4.73,13520,13520,13520,0,200,769.00,699.00,1016.00,86.84,13520,13520,13520,,200,2025-11-06T20:16:32.351Z,
/maqamat?filterByFamily=kurd,GET,filterByFamily=kurd,109.20,106.00,121.00,4.14,35179,35179,35179,0,200,753.00,687.00,871.00,56.11,35179,35179,35179,,200,2025-11-06T20:16:41.945Z,
/maqamat?filterByTonic=ajam_ushayran,GET,filterByTonic=ajam_ushayran,110.40,105.00,126.00,5.71,13520,13520,13520,0,200,720.90,676.00,772.00,34.38,13520,13520,13520,,200,2025-11-06T20:16:51.234Z,
/maqamat?filterByFamily=ajam&filterByTonic=ajam_ushayran,GET,filterByFamily=ajam&filterByTonic=ajam_ushayran,108.40,106.00,111.00,1.74,13520,13520,13520,0,200,760.10,686.00,793.00,31.56,13520,13520,13520,,200,2025-11-06T20:17:00.890Z,
/maqamat?filterByFamily=kurd&filterByTonic=ajam_ushayran,GET,filterByFamily=kurd&filterByTonic=ajam_ushayran,107.90,106.00,110.00,1.22,21,21,21,0,200,762.70,679.00,937.00,80.03,21,21,21,,200,2025-11-06T20:17:10.569Z,
/maqamat?filterByTonic=nawa,GET,filterByTonic=nawa,133.10,108.00,232.00,45.41,16973,16973,16973,0,200,737.30,686.00,1008.00,91.67,16973,16973,16973,,200,2025-11-06T20:17:20.242Z,
/maqamat?filterByFamily=ajam&filterByTonic=nawa,GET,filterByFamily=ajam&filterByTonic=nawa,109.10,106.00,120.00,3.91,21,21,21,0,200,736.00,683.00,973.00,86.19,21,21,21,,200,2025-11-06T20:17:29.664Z,
/maqamat?filterByFamily=kurd&filterByTonic=nawa,GET,filterByFamily=kurd&filterByTonic=nawa,108.60,105.00,119.00,4.25,21,21,21,0,200,757.20,682.00,972.00,78.91,21,21,21,,200,2025-11-06T20:17:39.288Z,
/maqamat?sortBy=tonic,GET,sortBy=tonic,118.90,110.00,149.00,10.92,381536,381536,381536,0,200,763.60,741.00,795.00,18.96,381536,381536,381536,,200,2025-11-06T20:17:49.112Z,
/maqamat?filterByFamily=ajam&sortBy=tonic,GET,filterByFamily=ajam&sortBy=tonic,116.00,110.00,120.00,2.61,13520,13520,13520,0,200,718.60,686.00,895.00,63.64,13520,13520,13520,,200,2025-11-06T20:17:58.430Z,
/maqamat?filterByFamily=kurd&sortBy=tonic,GET,filterByFamily=kurd&sortBy=tonic,116.50,106.00,134.00,7.05,35179,35179,35179,0,200,750.00,697.00,933.00,67.71,35179,35179,35179,,200,2025-11-06T20:18:08.064Z,
/maqamat?filterByTonic=ajam_ushayran&sortBy=tonic,GET,filterByTonic=ajam_ushayran&sortBy=tonic,118.10,115.00,125.00,2.62,13520,13520,13520,0,200,708.40,678.00,747.00,21.44,13520,13520,13520,,200,2025-11-06T20:18:17.297Z,
/maqamat?filterByFamily=ajam&filterByTonic=ajam_ushayran&sortBy=tonic,GET,filterByFamily=ajam&filterByTonic=ajam_ushayran&sortBy=tonic,118.50,116.00,124.00,2.46,13520,13520,13520,0,200,748.20,688.00,973.00,83.74,13520,13520,13520,,200,2025-11-06T20:18:26.934Z,
/maqamat?sortBy=alphabetical,GET,sortBy=alphabetical,124.30,121.00,128.00,1.90,381536,381536,381536,0,200,740.70,730.00,756.00,8.71,381536,381536,381536,,200,2025-11-06T20:18:36.571Z,
/maqamat?filterByFamily=ajam&sortBy=alphabetical,GET,filterByFamily=ajam&sortBy=alphabetical,111.30,109.00,121.00,3.38,13520,13520,13520,0,200,721.80,670.00,818.00,41.69,13520,13520,13520,,200,2025-11-06T20:18:45.874Z,
/maqamat?filterByFamily=kurd&sortBy=alphabetical,GET,filterByFamily=kurd&sortBy=alphabetical,113.50,108.00,126.00,4.50,35179,35179,35179,0,200,739.70,685.00,821.00,50.07,35179,35179,35179,,200,2025-11-06T20:18:55.383Z,
/maqamat?filterByTonic=ajam_ushayran&sortBy=alphabetical,GET,filterByTonic=ajam_ushayran&sortBy=alphabetical,115.50,107.00,154.00,13.37,13520,13520,13520,0,200,711.10,683.00,781.00,31.92,13520,13520,13520,,200,2025-11-06T20:19:04.618Z,
/maqamat?filterByFamily=ajam&filterByTonic=ajam_ushayran&sortBy=alphabetical,GET,filterByFamily=ajam&filterByTonic=ajam_ushayran&sortBy=alphabetical,113.20,107.00,128.00,6.62,13520,13520,13520,0,200,743.90,698.00,884.00,53.16,13520,13520,13520,,200,2025-11-06T20:19:14.161Z,
/maqamat?includeSources=true,GET,includeSources=true,118.60,113.00,130.00,4.29,383735,383735,383735,0,200,781.80,738.00,924.00,54.31,383735,383735,383735,,200,2025-11-06T20:19:24.158Z,
/maqamat?filterByFamily=ajam&includeSources=true,GET,filterByFamily=ajam&includeSources=true,119.80,107.00,198.00,26.51,13688,13688,13688,0,200,703.70,685.00,759.00,19.19,13688,13688,13688,,200,2025-11-06T20:19:33.364Z,
/maqamat?filterByFamily=kurd&includeSources=true,GET,filterByFamily=kurd&includeSources=true,111.30,108.00,131.00,6.63,35287,35287,35287,0,200,769.00,688.00,1075.00,105.95,35287,35287,35287,,200,2025-11-06T20:19:43.140Z,
/maqamat?filterByTonic=ajam_ushayran&includeSources=true,GET,filterByTonic=ajam_ushayran&includeSources=true,119.30,116.00,128.00,3.55,13688,13688,13688,0,200,721.40,681.00,820.00,40.57,13688,13688,13688,,200,2025-11-06T20:19:52.511Z,
/maqamat?filterByFamily=ajam&filterByTonic=ajam_ushayran&includeSources=true,GET,filterByFamily=ajam&filterByTonic=ajam_ushayran&includeSources=true,118.50,115.00,123.00,2.58,13688,13688,13688,0,200,709.60,682.00,766.00,26.68,13688,13688,13688,,200,2025-11-06T20:20:01.763Z,
/maqamat?includeSources=false,GET,includeSources=false,123.10,120.00,129.00,2.26,381536,381536,381536,0,200,780.70,730.00,1043.00,88.91,381536,381536,381536,,200,2025-11-06T20:20:11.795Z,
/maqamat?filterByFamily=ajam&includeSources=false,GET,filterByFamily=ajam&includeSources=false,120.50,117.00,125.00,2.33,13520,13520,13520,0,200,762.80,684.00,1023.00,99.68,13520,13520,13520,,200,2025-11-06T20:20:21.596Z,
/maqamat?filterByFamily=kurd&includeSources=false,GET,filterByFamily=kurd&includeSources=false,134.40,116.00,177.00,22.40,35179,35179,35179,0,200,707.70,679.00,773.00,26.58,35179,35179,35179,,200,2025-11-06T20:20:30.989Z,
/maqamat?filterByTonic=ajam_ushayran&includeSources=false,GET,filterByTonic=ajam_ushayran&includeSources=false,109.80,107.00,116.00,2.27,13520,13520,13520,0,200,722.90,678.00,801.00,41.42,13520,13520,13520,,200,2025-11-06T20:20:40.288Z,
/maqamat?filterByFamily=ajam&filterByTonic=ajam_ushayran&includeSources=false,GET,filterByFamily=ajam&filterByTonic=ajam_ushayran&includeSources=false,111.10,107.00,123.00,4.13,13520,13520,13520,0,200,751.50,693.00,797.00,31.66,13520,13520,13520,,200,2025-11-06T20:20:49.886Z,
/maqamat?inArabic=true,GET,inArabic=true,163.50,158.00,180.00,5.94,565523,565523,565523,0,200,1029.10,972.00,1132.00,51.67,565523,565523,565523,,200,2025-11-06T20:21:02.819Z,
/maqamat?filterByFamily=ajam&inArabic=true,GET,filterByFamily=ajam&inArabic=true,169.30,165.00,174.00,2.41,19892,19892,19892,0,200,951.10,916.00,1122.00,57.94,19892,19892,19892,,200,2025-11-06T20:21:14.986Z,
/maqamat?filterByFamily=kurd&inArabic=true,GET,filterByFamily=kurd&inArabic=true,175.00,168.00,211.00,12.47,52154,52154,52154,0,200,983.40,912.00,1288.00,107.64,52154,52154,52154,,200,2025-11-06T20:21:27.544Z,
/maqamat?filterByTonic=ajam_ushayran&inArabic=true,GET,filterByTonic=ajam_ushayran&inArabic=true,156.30,154.00,161.00,1.90,19892,19892,19892,0,200,962.50,906.00,1098.00,50.47,19892,19892,19892,,200,2025-11-06T20:21:39.696Z,
/maqamat?filterByFamily=ajam&filterByTonic=ajam_ushayran&inArabic=true,GET,filterByFamily=ajam&filterByTonic=ajam_ushayran&inArabic=true,155.40,153.00,158.00,1.43,19892,19892,19892,0,200,987.80,915.00,1161.00,76.19,19892,19892,19892,,200,2025-11-06T20:21:52.101Z,
/maqamat?inArabic=false,GET,inArabic=false,123.10,111.00,200.00,26.03,381536,381536,381536,0,200,771.70,713.00,843.00,39.57,381536,381536,381536,,200,2025-11-06T20:22:02.060Z,
/maqamat?filterByFamily=ajam&inArabic=false,GET,filterByFamily=ajam&inArabic=false,110.50,107.00,126.00,5.28,13520,13520,13520,0,200,743.70,692.00,833.00,44.66,13520,13520,13520,,200,2025-11-06T20:22:11.574Z,
/maqamat?filterByFamily=kurd&inArabic=false,GET,filterByFamily=kurd&inArabic=false,110.00,107.00,124.00,4.80,35179,35179,35179,0,200,741.20,687.00,974.00,82.11,35179,35179,35179,,200,2025-11-06T20:22:21.063Z,
/maqamat?filterByTonic=ajam_ushayran&inArabic=false,GET,filterByTonic=ajam_ushayran&inArabic=false,109.80,107.00,122.00,4.28,13520,13520,13520,0,200,716.00,675.00,769.00,32.89,13520,13520,13520,,200,2025-11-06T20:22:30.287Z,
/maqamat?filterByFamily=ajam&filterByTonic=ajam_ushayran&inArabic=false,GET,filterByFamily=ajam&filterByTonic=ajam_ushayran&inArabic=false,110.00,106.00,127.00,5.80,13520,13520,13520,0,200,720.20,689.00,798.00,37.86,13520,13520,13520,,200,2025-11-06T20:22:39.564Z,
